dd
CommandType     Name                                               Version    Source
Function        New-KerberosKdcServerUser                          2.0.1      NtObjectManager
Function        New-KerberosKey                                    2.0.1      NtObjectManager
Function        New-KerberosKeyTab                                 2.0.1      NtObjectManager
Function        New-KerberosPrincipalName                          2.0.1      NtObjectManager
Function        New-KerberosTgsRequest                             2.0.1      NtObjectManager
Function        New-KerberosTicket                                 2.0.1      NtObjectManager
Function        New-KerberosTicketCache                            2.0.1      NtObjectManager
Function        New-LsaClientContext                               2.0.1      NtObjectManager
Function        New-LsaCredentialHandle                            2.0.1      NtObjectManager
Function        New-LsaSecurityBuffer                              2.0.1      NtObjectManager
Function        New-LsaServerContext                               2.0.1      NtObjectManager
Function        New-NdrParser                                      2.0.1      NtObjectManager
Function        New-NtAcl                                          2.0.1      NtObjectManager
Function        New-NtEaBuffer                                     2.0.1      NtObjectManager
Function        New-NtFileReparseBuffer                            2.0.1      NtObjectManager
Function        New-NtKernelCrashDump                              2.0.1      NtObjectManager
Function        New-NtObjectAttributes                             2.0.1      NtObjectManager
Function        New-NtProcess                                      2.0.1      NtObjectManager
Function        New-NtProcessConfig                                2.0.1      NtObjectManager
Function        New-NtSectionImage                                 2.0.1      NtObjectManager
Function        New-NtSecurityQualityOfService                     2.0.1      NtObjectManager
Function        New-NtType                                         2.0.1      NtObjectManager
Function        New-NtUserGroup                                    2.0.1      NtObjectManager
Function        New-ObjectTypeTree                                 2.0.1      NtObjectManager
Function        New-RpcClientTransportConfig                       2.0.1      NtObjectManager
Function        New-RpcContextHandle                               2.0.1      NtObjectManager
Function        New-RpcTransportSecurity                           2.0.1      NtObjectManager
Function        New-SamUser                                        2.0.1      NtObjectManager
Function        New-SymbolResolver                                 2.0.1      NtObjectManager
Function        New-Win32DebugConsole                              2.0.1      NtObjectManager
Function        New-Win32MemoryBuffer                              2.0.1      NtObjectManager
Function        New-Win32Process                                   2.0.1      NtObjectManager
Function        New-Win32ProcessConfig                             2.0.1      NtObjectManager
Function        New-Win32Service                                   2.0.1      NtObjectManager
Function        Protect-LsaContextMessage                          2.0.1      NtObjectManager
Function        Protect-RC4                                        2.0.1      NtObjectManager
Function        Protect-Win32Credential                            2.0.1      NtObjectManager
Function        Read-FwNetEvent                                    2.0.1      NtObjectManager
Function        Read-LsaCredential                                 2.0.1      NtObjectManager
Function        Read-NtFile                                        2.0.1      NtObjectManager
Function        Read-NtFileUsnJournal                              2.0.1      NtObjectManager
Function        Read-NtVirtualMemory                               2.0.1      NtObjectManager
Function        Read-Win32DebugConsole                             2.0.1      NtObjectManager
Function        Remove-AppContainerProfile                         2.0.1      NtObjectManager
Function        Remove-AppModelLoopbackException                   2.0.1      NtObjectManager
Function        Remove-FwFilter                                    2.0.1      NtObjectManager
Function        Remove-KerberosTicket                              2.0.1      NtObjectManager
Function        Remove-NtAccountRight                              2.0.1      NtObjectManager
Function        Remove-NtAtom                                      2.0.1      NtObjectManager
Function        Remove-NtFileEa                                    2.0.1      NtObjectManager
Function        Remove-NtKeyValue                                  2.0.1      NtObjectManager
Function        Remove-NtSection                                   2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorControl                 2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorDacl                    2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorGroup                   2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorIntegrityLevel          2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorOwner                   2.0.1      NtObjectManager
Function        Remove-NtSecurityDescriptorSacl                    2.0.1      NtObjectManager
Function        Remove-NtSidName                                   2.0.1      NtObjectManager
Function        Remove-NtTokenPrivilege                            2.0.1      NtObjectManager
Function        Remove-NtVirtualMemory                             2.0.1      NtObjectManager
Function        Remove-ObjectTypeTree                              2.0.1      NtObjectManager
Function        Remove-Win32Credential                             2.0.1      NtObjectManager
Function        Remove-Win32Service                                2.0.1      NtObjectManager
Function        Rename-KerberosTicket                              2.0.1      NtObjectManager
Function        Reset-NtTokenGroup                                 2.0.1      NtObjectManager
Function        Resolve-KerberosKdcAddress                         2.0.1      NtObjectManager
Function        Resolve-NtObjectAddress                            2.0.1      NtObjectManager
Function        Restart-Win32Service                               2.0.1      NtObjectManager
Function        Restore-NtKey                                      2.0.1      NtObjectManager
Function        Resume-NtProcess                                   2.0.1      NtObjectManager
Function        Resume-NtThread                                    2.0.1      NtObjectManager
Function        Revoke-ObjectTypeTreeAccess                        2.0.1      NtObjectManager
Function        Search-DsObjectSid                                 2.0.1      NtObjectManager
Function        Select-BinaryString                                2.0.1      NtObjectManager
Function        Select-ObjectTypeTree                              2.0.1      NtObjectManager
